gene_id,gene_name,Med8,Med17
YDR034C-C,YDR034C-C,6582.023333,3464.905
YDR034C-D,YDR034C-D,6582.023333,3464.905
YDR034W-B,YDR034W-B,4833.356667,1884.283333
YDR035W,ARO3,7925.535,3411.998333
YDR036C,EHD3,7768.531667,4646.231667
YDR037W,KRS1,8028.116667,3210.098333
YDR041W,RSM10,22728.14,21675.485
YDR050C,TPI1,93663.81833,110641.8367
YDR054C,CDC34,22548.98667,14391.56667
YDR062W,LCB2,8385.196667,6696.7
YDR072C,IPT1,54569.27333,36521.22667
YDR073W,SNF11,63738.57167,45765.41833
YDR074W,TPS2,55539.00333,40735.745
YDR077W,SED1,32263.07333,53132.515
YDR089W,YDR089W,5092.351667,2582.823333
YDR093W,DNF2,11235.08833,7166.688333
YDR098C-A,YDR098C-A,39953.97,7359.03
YDR098C-B,YDR098C-B,39953.97,7359.03
YDR111C,ALT2,4100.596667,2179.998333
YDR123C,INO2,5275.293333,2167.308333
YDR124W,YDR124W,5520.955,2161.218333
YDR127W,ARO1,18209.50667,5001.995
YDR129C,SAC6,9344.741667,3598.801667
YDR134C,YDR134C,82060.28833,75827.84167
YDR151C,CTH1,20545.02333,7156.82
YDR152W,GIR2,15906.87667,7156.82
YDR153C,ENT5,15668.00667,6323.075
YDR155C,CPR1,77379.46667,38375.19167
YDR156W,RPA14,59164.1,11189.32167
YDR158W,HOM2,15696.94,4292.338333
YDR170W-A,YDR170W-A,4654.418333,1676.948333
YDR171W,HSP42,88341.08,27873.43833
YDR173C,ARG82,12987.765,5478.233333
YDR174W,HMO1,13632.84333,4204.793333
YDR186C,YDR186C,9027.675,4137.178333
YDR188W,CCT6,9245.83,5083.71
YDR207C,UME6,4388.063333,2624.026667
YDR208W,MSS4,4449.36,3002.961667
YDR210C-C,YDR210C-C,40214.47833,7458.011667
YDR210C-D,YDR210C-D,40214.47833,7458.011667
YDR210W-A,YDR210W-A,8153.778333,3049.661667
YDR210W-B,YDR210W-B,8153.778333,3049.661667
YDR213W,UPC2,12418.72167,6908.243333
YDR214W,AHA1,48805.05667,14043.24167
YDR216W,ADR1,28264.705,14515.37167
YDR222W,YDR222W,5405.018333,4753.981667
YDR224C,HTB1,39185.015,19949.34333
YDR231C,COX20,7299.808333,4142.973333
YDR232W,HEM1,7103.956667,3777.466667
YDR233C,RTN1,19802.90833,10290.31
YDR234W,LYS4,15286.235,12703.84333
YDR247W,VHS1,35699.18667,35160.82167
YDR249C,YDR249C,17635.51,10312.075
YDR251W,PAM1,17635.51,10312.075
YDR258C,HSP78,34882.825,16454.62
YDR261C-C,YDR261C-C,53610.32667,8215.416667
YDR261C-D,YDR261C-D,53610.32667,8215.416667
YDR261W-A,YDR261W-A,5780.051667,1371.853333
YDR261W-B,YDR261W-B,5780.051667,1371.853333
YDR262W,YDR262W,28255.60833,8035.236667
YDR276C,PMP3,25089.85,14956.075
YDR277C,MTH1,13294.03333,13432.055
YDR293C,SSD1,5317.475,5586.686667
YDR297W,SUR2,6981.51,2635.178333
YDR309C,GIC2,3687.458333,2684.006667
YDR316W-A,YDR316W-A,15669.38333,955.5133333
YDR316W-B,YDR316W-B,15669.38333,955.5133333
YDR342C,HXT7,79688.57333,195744.1917
YDR343C,HXT6,13937.16667,45693.55167
YDR345C,HXT3,9969.35,5393.75
YDR346C,SVF1,3946.415,1667.128333
YDR347W,MRP1,3939.566667,1667.128333
YDR353W,TRR1,6040.601667,2606.653333
YDR354W,TRP4,5506.203333,2249.54
YDR363W-A,SEM1,1449.188333,541.9783333
YDR365W-A,YDR365W-A,25045.905,4044.513333
YDR365W-B,YDR365W-B,25045.905,4044.513333
YDR367W,KEI1,19825.09667,4797.441667
YDR385W,EFT2,15870.49667,7052.221667
YDR389W,SAC7,5260.461667,3629.628333
YDR399W,HPT1,9281.296667,4497.586667
YDR406W,PDR15,6902.313333,3607.551667
YDR472W,TRS31,5065.985,2373.573333
YDR482C,CWC21,13651.56333,14004.08
YDR483W,KRE2,13651.56333,14004.08
YDR487C,RIB3,8042.916667,6274.363333
YDR505C,PSP1,5198.885,4630.14
YDR508C,GNP1,12173.02167,12003.40333
YDR512C,EMI1,5196.37,3757.676667
YDR513W,GRX2,5196.441667,3757.676667
YDR516C,EMI2,18553.14167,13842.54667
YDR517W,GRH1,14361.55833,7333.676667
YDR524C,AGE1,7650.716667,6231.355
YDR524C-B,YDR524C-B,20751.46,17428.54667
YDR524W-C,YDR524W-C,20751.46,17428.54667
YDR525W-A,SNA2,15706.395,13483.075
YDR527W,RBA50,12284.91333,5296.165
YDR545W,YRF1-1,7048.985,7850.468333
YEL007W,MIT1,12806.41,7485.206667
YEL009C,GCN4,17825.58,9810.636667
YEL011W,GLC3,12948.94333,15677.04333
YEL012W,UBC8,4730.363333,5014.685
YEL017C-A,PMP2,16412.99833,10309.705
YEL017W,GTT3,12935.40167,7349.538333
YEL027W,VMA3,6083.745,4130.203333
YEL034W,HYP2,17441.345,11594.39833
YEL035C,UTR5,17182.60333,11594.39833
YEL036C,ANP1,21897.85167,16654.46167
YEL044W,IES6,35970.945,7817.253333
YEL046C,GLY1,41112.74667,20507.49167
YEL060C,PRB1,11646.40167,4787.793333
YEL063C,CAN1,5111.283333,1822.348333
YEL071W,DLD3,17497.49167,5265.885
YER001W,MNN1,3405.276667,1984.478333
YER019C-A,SBH2,18200.31,14849.57833
YER020W,GPA2,18158.25667,9274.845
YER035W,EDC2,21757.58833,11613.46833
YER036C,ARB1,5421.988333,2485.618333
YER037W,PHM8,6326.656667,6987.266667
YER044C,ERG28,5185.136667,2786.47
YER046W,SPO73,11771.38833,3471.918333
YER052C,HOM3,10894.15333,4817.283333
YER053C,PIC2,14441.56333,12259.52
YER053C-A,YER053C-A,5205.868333,4636.681667
YER055C,HIS1,22999.37667,7433.62
YER056C-A,RPL34A,7597.22,7670.918333
YER062C,GPP2,12065.075,34975.795
YER063W,THO1,17016.98,8717.605
YER064C,VHR2,26059.43833,15959.39333
YER067W,RGI1,22874.66167,76500.24333
YER069W,"ARG5,6",12677.76333,10109.66667
YER071C,TDA2,11659.18,7004.233333
YER072W,VTC1,11659.18,7004.233333
YER073W,ALD5,54229.41167,8962.86
YER075C,PTP3,4676.395,1681.843333
YER078C,ICP55,3904.355,2323.776667
YER078W-A,YER078W-A,2411.581667,774.56
YER079W,YER079W,3910.381667,2323.776667
YER088C,DOT6,24943.77,11686.73667
YER089C,PTC2,6153.29,2622.74
YER090W,TRP2,6158.551667,2622.74
YER091C,MET6,7096.793333,3186.393333
YER092W,IES5,6816.04,4427.523333
YER098W,UBP9,6134.953333,5060.751667
YER124C,DSE1,9711.178333,10077.96833
YER125W,RSP5,7674.17,3947.545
YER130C,COM2,8279.96,5776.405
YER131W,RPS26B,5340.043333,3580.136667
YER133W,GLC7,4449.866667,2620.718333
YER136W,GDI1,14029.64833,5970.465
YER137C,YER137C,12458.85833,5649.211667
YER137C-A,YER137C-A,47961.85833,4713.48
YER138C,YER138C,47961.85833,4713.48
YER138W-A,YER138W-A,11282.785,1393.07
YER144C,UBP5,8583.7,4735.5
YER145C,FTR1,8843.031667,2425.66
YER146W,LSM5,9204.288333,4446.741667
YER149C,PEA2,15244.57333,15593.18667
YER150W,SPI1,18567.07333,30955.935
YER153C,PET122,6690.416667,3088.441667
YER154W,OXA1,6228.541667,2967.375
YER158C,YER158C,15772.68333,8422.29
YER159C,BUR6,13032.735,11532.39167
YER168C,CCA1,7078.586667,6634.113333
YER169W,RPH1,7081.001667,6634.113333
YER177W,BMH1,45994.75167,16704.13667
YER178W,PDA1,12946.905,6338.961667
YER184C,TOG1,4959.856667,3649.733333
YER185W,PUG1,4965.046667,3649.733333
YER188C-A,YER188C-A,5151.931667,4440.88
YER189W,YER189W,5154.945,4440.88
YER190W,YRF1-2,5154.945,4440.88
YFL002W-A,YFL002W-A,7681.775,2147.623333
YFL002W-B,YFL002W-B,7681.775,2147.623333
YFL004W,VTC2,5426.776667,3458.788333
YFL014W,HSP12,5786.25,44891.34
YFL016C,MDJ1,14088.655,14932.915
YFL017W-A,SMX2,2960.186667,628.9116667
YFL018C,LPD1,7185.005,5357.428333
YFL021W,GAT1,13687.99167,7143.718333
YFL022C,FRS2,21989.64333,14540.785
YFL023W,BUD27,14435.72667,9359.095
YFL024C,EPL1,14435.72667,9359.095
YFL031W,HAC1,18363.55333,13629.77833
YFL033C,RIM15,13203.71167,5070.958333
YFL037W,TUB2,3096.12,1816.848333
YFL038C,YPT1,3100.385,1816.848333
YFL039C,ACT1,20562.99833,11783.23
YFR005C,SAD1,4795.933333,3187.841667
YFR006W,YFR006W,4798.568333,3187.841667
YFR014C,CMK1,6042.3,5146.541667
YFR015C,GSY1,42699.995,25965.17167
YFR017C,IGD1,10170.49167,6571.743333
YFR018C,YFR018C,7551.046667,2177.235
YFR019W,FAB1,7551.046667,2177.235
YFR033C,QCR6,6872.34,4547.431667
YFR034C,PHO4,6339.901667,4332.381667
YFR035C,YFR035C,6843.408333,4633.341667
YFR036W,CDC26,6622.406667,4633.341667
YFR053C,HXK1,92616.995,168838.1583
YGL006W,PMC1,22448.27167,13176.865
YGL006W-A,YGL006W-A,19141.41333,6172.723333
YGL007C-A,YGL007C-A,32713.98833,17803.72
YGL008C,PMA1,32713.98833,15753.56167
YGL028C,SCW11,11305.80167,6406.38
YGL035C,MIG1,25792.50667,10312.32667
YGL036W,YGL036W,82753.07167,40307.04667
YGL037C,PNC1,92529.965,57258.85167
YGL038C,OCH1,26367.14333,10219.43833
YGL053W,PRM8,4944.005,2256.946667
YGL054C,ERV14,5170.591667,3977.555
YGL055W,OLE1,21878.41833,8790.268333
YGL062W,PYC1,11772.37833,12074.05
YGL071W,AFT1,11583.66167,5099.918333
YGL076C,RPL7A,5486.235,2987.788333
YGL096W,TOS8,7346.426667,4579.238333
YGL123W,RPS2,11486.07333,7685.4
YGL125W,MET13,15525.52167,7189.163333
YGL162W,SUT1,5663.236667,2442.041667
YGL166W,CUP2,11612.47,11329.01667
YGL167C,PMR1,11612.47,11329.01667
YGL178W,MPT5,9573.215,4628.091667
YGL179C,TOS3,8801.518333,3695.386667
YGL184C,STR3,4776.783333,1906.421667
YGL190C,CDC55,6323.346667,3271.551667
YGL197W,MDS3,10382.775,4433.488333
YGL202W,ARO8,5246.218333,3395.761667
YGL209W,MIG2,9402.78,3993.306667
YGL253W,HXK2,25147.425,21386.345
YGR008C,STF2,10111.24333,10481.71833
YGR023W,MTL1,14515.93,12118.64
YGR027C,RPS25A,13980.69667,4548.231667
YGR027W-A,YGR027W-A,50466.91,11487.265
YGR027W-B,YGR027W-B,50466.91,11487.265
YGR031C-A,NAG1,24575.01,7130.491667
YGR032W,GSC2,28431.85833,25905.89667
YGR033C,TIM21,6531.971667,3099.901667
YGR034W,RPL26B,7263.3,4471.66
YGR035C,YGR035C,9103.29,3475.503333
YGR037C,ACB1,10625.46833,3586.543333
YGR038C-A,YGR038C-A,40945.91167,7802.988333
YGR038C-B,YGR038C-B,40945.91167,7802.988333
YGR038W,ORM1,10625.46833,3654.926667
YGR041W,BUD9,15110.30167,5885.318333
YGR043C,NQM1,5423.333333,5584.613333
YGR044C,RME1,9154.706667,5635.7
YGR046W,TAM41,7990.035,2883.998333
YGR050C,YGR050C,16996.31,11264.05667
YGR052W,FMP48,17147.47333,13202.78167
YGR055W,MUP1,38093.47333,28686.44667
YGR060W,ERG25,10052.21167,6342.473333
YGR067C,YGR067C,10543.70833,103434.6683
YGR068C,ART5,4597.066667,5758.328333
YGR070W,ROM1,4891.53,6197.705
YGR085C,RPL11B,4381.743333,4594.79
YGR086C,PIL1,12366.75333,9623.16
YGR088W,CTT1,6767.336667,21103.18333
YGR097W,ASK10,7453.438333,3034.04
YGR117C,YGR117C,5958.815,4823.12
YGR118W,RPS23A,6453.76,4128.431667
YGR121C,MEP1,34041.045,13705.17667
YGR122W,YGR122W,39195.49,22714.18167
YGR124W,ASN2,29086.07333,7521.153333
YGR130C,YGR130C,6261.641667,4156.345
YGR132C,PHB1,4255.611667,1630.19
YGR133W,PEX4,4231.288333,1681.021667
YGR138C,TPO2,16658.895,7700.635
YGR142W,BTN2,81295.60667,60087.63667
YGR143W,SKN1,8949.543333,4477.503333
YGR144W,THI4,5522.673333,3956.985
YGR154C,GTO1,23503.50667,7456.986667
YGR155W,CYS4,24463.675,6839.836667
YGR157W,CHO2,18892.29,4750.898333
YGR161C,RTS3,102839.6617,57710.53167
YGR161C-C,YGR161C-C,33356.335,5583.371667
YGR161C-D,YGR161C-D,33356.335,5583.371667
YGR161W-C,YGR161W-C,98307.53333,30868.02333
YGR162W,TIF4631,7578.388333,3382.43
YGR180C,RNR4,9879.073333,3668.778333
YGR189C,CRH1,16544.19,10294.50333
YGR192C,TDH3,367178.995,212765.4183
YGR197C,SNG1,10586.34333,5684.358333
YGR198W,YPP1,10631.47,5684.358333
YGR202C,PCT1,37833.60833,16938.42167
YGR203W,YCH1,37536.25833,16938.42167
YGR205W,TDA10,6364.471667,3475.321667
YGR210C,YGR210C,37974.14333,12562.80667
YGR211W,ZPR1,35252.75333,11219.865
YGR213C,RTA1,5631.896667,3989.41
YGR214W,RPS0A,4591.353333,3804.416667
YGR218W,CRM1,8612.801667,4643.571667
YGR229C,SMI1,4854.123333,3246.77
YGR233C,PHO81,21047.52667,13427.5
YGR240C,PFK1,25792.685,9981.738333
YGR241C,YAP1802,22167.63,25351.32167
YGR243W,MPC3,19090.895,57307.33667
YGR249W,MGA1,33825.62333,20726.79667
YGR250C,YGR250C,34231.03167,21681.35833
YGR254W,ENO1,93743.365,63850.46667
YGR267C,FOL2,7032.498333,3579.083333
YGR268C,HUA1,11317.11333,6963.2
YGR270W,YTA7,11930.90167,6963.2
YGR281W,YOR1,5012.488333,3108.581667
YGR296W,YRF1-3,8667.826667,8593.245
YHL007C,STE20,20435.065,8507.886667
YHL021C,AIM17,5924.836667,6291.021667
YHL024W,RIM4,8740.073333,5440.313333
YHL025W,SNF6,3677.9,2532.226667
YHL026C,YHL026C,3559.566667,2992.148333
YHL028W,WSC4,4902.88,3229.845
YHL029C,OCA5,4897.186667,3229.845
YHR005C,GPA1,8346.858333,2199.626667
YHR007C,ERG11,10385.36333,6050.296667
YHR021C,RPS27B,5655.531667,5614.291667
YHR021W-A,ECM12,585.2466667,213.1183333
YHR071W,PCL5,15305.80167,11536.63333
YHR082C,KSP1,7911.878333,2598.998333
YHR083W,SAM35,9097.15,3738.638333
YHR086W-A,YHR086W-A,1341.84,2334.16
YHR087W,RTC3,12064.75833,27100.925
YHR092C,HXT4,7037.145,7089.723333
YHR094C,HXT1,6271.695,4165.715
YHR096C,HXT5,8499.33,10269.04333
YHR097C,YHR097C,15577.24833,10835.51
YHR136C,SPL2,46265.67167,40314.76
YHR137W,ARO9,48814.30167,40314.76
YHR143W,DSE2,11024.92,5296.161667
YHR161C,YAP1801,15523.76,5167.241667
YHR162W,MPC2,16790.63333,6126.29
YHR163W,SOL3,6842.745,3833.485
YHR173C,YHR173C,135789.1433,100672.6233
YHR174W,ENO2,135789.1433,100672.6233
YHR179W,OYE2,11283.23833,5085.15
YHR214C-B,YHR214C-B,40779.34667,15303.89
YHR214C-C,YHR214C-C,40779.34667,15303.89
YIL046W,MET30,5150.686667,1691.238333
YIL046W-A,YIL046W-A,3700.211667,1332.795
YIL047C,SYG1,5190.455,1988.088333
YIL053W,GPP1,74634.88333,34013.20333
YIL054W,YIL054W,53511.39,12731.77833
YIL055C,YIL055C,52471.465,8981.573333
YIL056W,VHR1,70145.88833,62926.71
YIL069C,RPS24B,4421.086667,2292.92
YIL074C,SER33,6092.266667,5687.041667
YIL099W,SGA1,11541.75833,15526.81167
YIL101C,XBP1,11541.75833,15526.81167
YIL106W,MOB1,5153.945,8117.55
YIL107C,PFK26,6316.03,8117.55
YIL108W,YIL108W,6091.42,5619.123333
YIL109C,SEC24,5413.12,3075.356667
YIL111W,COX5B,4899.325,2609.26
YIL116W,HIS5,7037.406667,4130.841667
YIL117C,PRM5,8382.111667,3840.501667
YIL118W,RHO3,20681.79333,19824.54833
YIL119C,RPI1,6100.516667,2789.168333
YIL135C,VHS2,5521.411667,2547.538333
YIL162W,SUC2,5346.88,4984.038333
YIR016W,YIR016W,11303.465,7771.133333
YIR017C,MET28,22584.74167,13314.46
YIR018W,YAP5,18747.05667,13314.46
YJL016W,YJL016W,7006.8,4484.216667
YJL026W,RNR2,5584.14,4038.51
YJL034W,KAR2,30420.08167,19977.23167
YJL035C,TAD2,30420.08167,19977.23167
YJL042W,MHP1,7008.25,3513.903333
YJL048C,UBX6,12473.875,4574.451667
YJL052C-A,YJL052C-A,55007.875,59137.54333
YJL052W,TDH1,55007.875,59137.54333
YJL077W-A,YJL077W-A,15589.15833,6537.878333
YJL079C,PRY1,10174.08333,5633.041667
YJL082W,IML2,9891.655,4212.236667
YJL088W,ARG3,17205.105,6012.775
YJL100W,LSB6,14691.71667,5612.645
YJL101C,GSH1,14961.17667,5736.618333
YJL107C,YJL107C,5506.476667,5433.835
YJL115W,ASF1,12197.07833,11057.59333
YJL130C,URA2,6796.376667,4898.986667
YJL133C-A,YJL133C-A,18040.52833,12795.15333
YJL133W,MRS3,12675.23167,6119.073333
YJL140W,RPB4,4556.543333,3469.786667
YJL141C,YAK1,5475.753333,3646.89
YJL149W,DAS1,13789.01,5750.196667
YJL151C,SNA3,13800.33333,6293.403333
YJL159W,HSP150,46403.36833,43522.69
YJL164C,TPK1,5413.348333,7069.166667
YJL165C,HAL5,22067.33667,19751.915
YJL166W,QCR8,6514.466667,4565.563333
YJL171C,YJL171C,8554.176667,8040.678333
YJL177W,RPL17B,5360.116667,3939.143333
YJL178C,ATG27,5380.053333,4394.56
YJL210W,PEX2,14475.37667,6064.395
YJL212C,OPT1,13875.02167,4625.405
YJR009C,TDH2,53448.125,36946.855
YJR010W,MET3,6015.405,2879.1
YJR016C,ILV3,11327.10667,4371.368333
YJR017C,ESS1,3949.256667,2029.153333
YJR026W,YJR026W,42346.37833,4453.783333
YJR027W,YJR027W,42346.37833,4453.783333
YJR028W,YJR028W,48918.87,5921.088333
YJR029W,YJR029W,48918.87,5921.088333
YJR045C,SSC1,15265.44,6991.608333
YJR046W,TAH11,15265.44,6991.608333
YJR047C,ANB1,2954.231667,3619.12
YJR048W,CYC1,3013.23,3481.533333
