gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YJL091C,GWT1,TATA-less,TFIID,tail-independent,8.727295772,-1.405539787,-1.650438334,-0.008962505
YNL011C,YNL011C,TATA-less,TFIID,tail-independent,8.718297224,-0.72596219,-2.020117802,-0.181863674
YPR178W,PRP4,TATA-less,TFIID,tail-independent,8.715941025,-0.809124227,-2.043594199,0.071693366
YGR016W,YGR016W,TATA-less,TFIID,tail-independent,8.715881799,-1.145160015,-3.097812429,0.244215426
YMR210W,YMR210W,TATA-less,TFIID,tail-independent,8.714059295,-1.410831112,-1.764988731,-0.025880065
YDR489W,SLD5,TATA-less,TFIID,tail-independent,8.713412793,-0.87919444,-2.307153176,0.143370601
YGR262C,BUD32,TATA-less,TFIID,tail-independent,8.710476566,-1.200056715,-2.56035627,0.061957155
YMR041C,ARA2,,TFIID,tail-independent,8.69610002,-0.984640168,-2.616212521,0.364340258
YGL083W,SCY1,TATA-less,TFIID,tail-independent,8.692685404,-0.976277977,-2.493860922,-0.171726221
YBR156C,SLI15,TATA-less,TFIID,tail-independent,8.69086812,-1.231398018,-2.411504137,-0.122965892
YER186C,YER186C,,TFIID,tail-independent,8.684493798,-0.888443356,-2.399309202,0.18504793
YBR042C,CST26,TATA-less,TFIID,tail-independent,8.681345163,-0.969048375,-2.222487044,0.011176751
YGL248W,PDE1,,TFIID,tail-independent,8.679161953,-1.004962768,-2.705447735,0.1180034
YMR213W,CEF1,TATA-less,TFIID,tail-independent,8.675690666,-0.851132243,-2.523557113,0.32325803
YCR019W,MAK32,TATA-less,TFIID,tail-independent,8.673393587,-0.535608487,-2.597337107,0.268778388
YHL019C,APM2,,TFIID,tail-independent,8.664086861,-1.066499339,-2.726071383,-0.01567875
YNL122C,YNL122C,TATA-containing,TFIID,tail-independent,8.64753888,-0.912431256,-2.776603459,0.00965777
YPR109W,YPR109W,TATA-containing,TFIID,tail-independent,8.646740472,-0.524889221,-2.429758306,0.165832247
YNL283C,WSC2,TATA-less,TFIID,tail-independent,8.644056848,-1.937082793,-2.372719171,-0.199621114
YJL172W,CPS1,TATA-containing,TFIID,tail-independent,8.64218597,-0.48562922,-1.060126293,0.139979106
YBR188C,NTC20,,TFIID,tail-independent,8.626334462,-0.324148721,-2.935601922,0.087889233
YGR241C,YAP1802,TATA-less,TFIID,tail-independent,8.621313243,-1.633659479,-2.962116894,-0.051673978
YNL003C,PET8,TATA-containing,TFIID,tail-independent,8.6181738,-1.019799643,-1.467754971,0.35869759
YOR179C,SYC1,TATA-less,TFIID,tail-independent,8.617092344,-0.786171465,-3.316179734,0.197939378
YDR207C,UME6,TATA-less,TFIID,tail-independent,8.613987272,-1.362091449,-3.293923338,0.048449456
YAL032C,PRP45,TATA-less,TFIID,tail-independent,8.608997908,-0.422466857,-2.147512613,0.064177499
YMR166C,YMR166C,TATA-less,TFIID,tail-independent,8.607894977,-1.131210481,-2.175486159,0.139820471
YPL104W,MSD1,TATA-less,TFIID,tail-independent,8.602263392,-1.142931962,-2.886248412,0.019469267
YLR131C,ACE2,TATA-less,TFIID,tail-independent,8.601877796,-1.76303964,-2.200524706,-0.040745712
YER038C,KRE29,,TFIID,tail-independent,8.596988754,-0.532308131,-2.504225351,0.277022744
YCL028W,RNQ1,,TFIID,tail-independent,8.587161933,-1.103196858,-2.53153154,-0.105843604
YGR216C,GPI1,TATA-less,TFIID,tail-independent,8.571401999,-0.900424797,-2.111722582,0.187023107
YPR098C,YPR098C,TATA-less,TFIID,tail-independent,8.560539929,-0.855479188,-2.33397496,0.104554037
YMR283C,RIT1,,TFIID,tail-independent,8.559751461,-1.103934813,-2.740712062,0.036230466
YFL010C,WWM1,TATA-less,TFIID,tail-independent,8.551552217,-1.222565551,-2.242391733,0.094209247
YDL203C,ACK1,TATA-less,TFIID,tail-independent,8.543688526,-1.005976114,-2.068229744,0.121348469
YPR084W,YPR084W,TATA-less,TFIID,tail-independent,8.533379421,-0.81060622,-2.087501413,0.255329146
YIL039W,TED1,TATA-less,TFIID,tail-independent,8.519189858,-1.014480715,-3.414983884,0.052210267
YNL240C,NAR1,TATA-less,TFIID,tail-independent,8.516338345,-1.370431691,-2.418416758,0.677952366
YMR088C,VBA1,TATA-less,TFIID,tail-independent,8.505826578,-0.882215993,-2.685131753,0.416236158
YOR137C,SIA1,TATA-less,TFIID,tail-independent,8.504470732,-1.275629873,-2.039518512,-0.3730727
YMR294W,JNM1,TATA-less,TFIID,tail-independent,8.493062512,-0.17445292,-2.356454874,0.230661193
YBR259W,YBR259W,,TFIID,tail-independent,8.485637646,-0.698515341,-2.475790088,0.085699552
YBR163W,EXO5,TATA-less,TFIID,tail-independent,8.476538763,-0.676519376,-1.974122421,0.030170918
YOR245C,DGA1,TATA-less,TFIID,tail-independent,8.474768467,-0.613195786,-2.939918131,0.083554613
YMR098C,ATP25,TATA-less,TFIID,tail-independent,8.474365112,-0.642335243,-2.675224871,0.276568834
YOR064C,YNG1,TATA-less,TFIID,tail-independent,8.462731613,-0.818406365,-2.862788487,0.148197512
YPL262W,FUM1,TATA-less,TFIID,tail-independent,8.462083193,-0.797225536,-1.731452352,0.204036863
YGL134W,PCL10,TATA-less,TFIID,tail-independent,8.461997905,-0.959366581,-2.069694427,0.174995053
YPL155C,KIP2,TATA-less,TFIID,tail-independent,8.456407478,-1.119214059,-2.714347685,0.069098646
YMR191W,SPG5,TATA-containing,TFIID,tail-independent,8.456055484,1.055911678,-2.558244866,0.0113404
YIR016W,YIR016W,,TFIID,tail-independent,8.451399639,-1.008252155,-1.972944123,0.096946362
YPR135W,CTF4,TATA-less,TFIID,tail-independent,8.449312218,-1.007192551,-2.812904247,-0.023683624
YNL321W,VNX1,TATA-less,TFIID,tail-independent,8.445604687,-1.224135077,-2.668468996,-0.194478236
YML113W,DAT1,TATA-less,TFIID,tail-independent,8.444869007,-1.367664948,-2.231207086,0.432793429
YGR012W,YGR012W,TATA-less,TFIID,tail-independent,8.441816074,-0.735333063,-2.273788603,0.071430225
YOR329C,SCD5,TATA-less,TFIID,tail-independent,8.439708084,-1.415192782,-1.8968358,-0.189434207
YLR215C,CDC123,TATA-less,TFIID,tail-independent,8.439056945,-0.97729584,-2.894870877,0.20869617
YDL098C,SNU23,,TFIID,tail-independent,8.438718807,-0.249963942,-4.1936199,0.29502933
YIL009C-A,EST3,TATA-less,TFIID,tail-independent,8.435647526,-0.995295069,-3.181446822,0.372473344
YOL001W,PHO80,,TFIID,tail-independent,8.43517212,-0.956891185,-1.515826734,0.086035843
YKL052C,ASK1,TATA-less,TFIID,tail-independent,8.417670642,-1.624560336,-2.638641799,-0.108462461
YOR334W,MRS2,TATA-less,TFIID,tail-independent,8.393812589,-1.055456812,-2.781780721,0.349597344
YDR014W,RAD61,,TFIID,tail-independent,8.390905097,-0.364221222,-2.534938122,0.350410736
YDR318W,MCM21,,TFIID,tail-independent,8.390566174,-0.538944064,-2.513040023,0.241227144
YOR197W,MCA1,TATA-less,TFIID,tail-independent,8.381942442,-1.358860867,-2.212896987,-0.051170615
YKR086W,PRP16,,TFIID,tail-independent,8.381740692,-0.851910183,-1.814233857,0.29479289
