gene,gene_name,TATA,class,tail-dependence,expression,Spt7,Taf13,Med15
YPR036W-A,SPO24,TATA-containing,CR,tail-dependent,1605.616178,-1.174115391,0.200644015,-1.084514123
YLR109W,AHP1,TATA-containing,CR,tail-dependent,732.7964237,-3.683724322,-0.653262453,-1.375141294
YHR179W,OYE2,TATA-containing,CR,tail-dependent,690.2661049,-1.977531666,-0.634454984,-0.639742448
YGR209C,TRX2,TATA-containing,CR,tail-independent,604.7561255,-2.191596807,0.218667846,0.688569431
YOL151W,GRE2,TATA-containing,CR,tail-dependent,550.2401357,-2.975430957,-0.343379024,-1.172387877
YGR192C,TDH3,TATA-containing,CR,tail-dependent,550.0449288,-2.0676652,-0.459031028,-1.262290561
YOL109W,ZEO1,TATA-containing,CR,tail-dependent,542.5090742,-2.367623055,-0.470144525,-1.47969706
YLR110C,CCW12,TATA-containing,CR,tail-dependent,436.5089442,-2.46103313,-0.58960925,-0.969147814
YDR524C-B,YDR524C-B,TATA-containing,CR,tail-dependent,409.1774477,-1.422944804,-0.611321736,-1.003547623
YGL008C,PMA1,TATA-containing,CR,tail-dependent,408.4669721,-2.509955324,-1.243708907,-1.507774752
YPL240C,HSP82,TATA-containing,CR,tail-independent,398.2015965,-2.937633777,-1.615416643,-0.322246542
YMR186W,HSC82,TATA-containing,CR,tail-independent,383.7342797,-1.681272973,-1.285565513,-0.120924252
YBR244W,GPX2,TATA-containing,CR,tail-independent,378.8099634,-2.750412727,-0.647077995,1.089402837
YNL134C,YNL134C,TATA-less,CR,tail-dependent,370.2962766,-1.540121634,-0.399620885,-0.15727523
YHR174W,ENO2,TATA-less,CR,tail-dependent,357.2482559,-2.923751404,-0.778647792,-1.321955191
YCR012W,PGK1,TATA-containing,CR,tail-dependent,346.8416448,-2.890738492,-0.320288255,-1.678384382
YGR142W,BTN2,TATA-containing,CR,tail-independent,342.6848072,-2.999421643,-2.163887744,0.491916329
YML028W,TSA1,TATA-containing,CR,tail-independent,335.0787884,-2.233717672,-0.458926794,0.275376841
YOR298C-A,MBF1,TATA-containing,CR,tail-independent,324.4958813,-2.368486766,-1.217329244,-0.205312654
YLR075W,RPL10,TATA-containing,CR,tail-independent,318.6584939,-0.923596171,-0.873958697,-0.016893913
YLL024C,SSA2,TATA-containing,CR,tail-dependent,317.3786855,-2.627123803,-1.304957178,-0.419720281
YKL152C,GPM1,TATA-less,CR,tail-dependent,311.2681616,-2.430846876,-0.406848963,-1.398896342
YML131W,YML131W,TATA-containing,CR,tail-independent,307.0805059,-1.912115653,-0.304260776,-0.042934578
YCR024C-A,PMP1,TATA-containing,CR,tail-dependent,295.3571291,-3.008248874,-1.71083903,-0.595029271
YOR153W,PDR5,TATA-less,CR,tail-dependent,294.4628758,-3.948707227,-1.182220338,-1.777775068
YPL187W,MF(ALPHA)1,,CR,tail-dependent,288.693713,-5.086186923,-2.54965577,-2.159506926
YLR460C,YLR460C,,CR,tail-independent,286.6226044,-1.973653178,-0.700598962,0.076903232
YDR353W,TRR1,TATA-less,CR,tail-independent,280.1921216,-2.377759422,-0.289452025,0.508219356
YGR055W,MUP1,TATA-containing,CR,tail-dependent,273.7110043,-1.302053083,0.083876696,-0.829070272
YJR104C,SOD1,TATA-containing,CR,tail-dependent,265.4843712,-3.139177042,-0.362413239,-0.388292945
YDR011W,SNQ2,TATA-containing,CR,tail-dependent,263.2366543,-3.044053258,-0.905263989,-0.776948622
YNL031C,HHT2,TATA-containing,CR,tail-dependent,252.6411804,-1.382171258,-0.643316147,-0.901283692
YGR155W,CYS4,TATA-containing,CR,tail-dependent,252.1156205,-2.856116306,-0.847603342,-0.38805105
YKL060C,FBA1,TATA-containing,CR,tail-dependent,251.8793953,-3.320898164,-0.382371364,-1.679946954
YEL017C-A,PMP2,TATA-less,CR,tail-dependent,251.5072752,-2.516261652,-1.435594158,-0.236783514
YAL005C,SSA1,TATA-containing,CR,tail-dependent,250.8816636,-3.960709526,-1.369045226,-0.585156505
YPL061W,ALD6,TATA-containing,CR,tail-dependent,249.4552894,-2.966504351,-1.029388025,-2.659478649
YJR045C,SSC1,TATA-less,CR,tail-independent,240.6843188,-1.660951444,-1.031904917,-0.16314382
YAL038W,CDC19,TATA-less,CR,tail-dependent,237.0153127,-2.113541164,-0.548115633,-1.327619568
YLL026W,HSP104,TATA-containing,CR,tail-independent,228.3361995,-3.291977147,-1.831956485,-0.217469575
YNL030W,HHF2,TATA-containing,CR,tail-dependent,224.5395268,-1.616861452,-0.551182385,-0.674838122
YBR008C,FLR1,TATA-less,CR,tail-independent,219.5487302,-2.257257468,0.194081345,0.0605059
YLR249W,YEF3,TATA-containing,CR,tail-independent,217.0651322,-1.759481135,-1.464489231,-0.18422221
YDR050C,TPI1,TATA-less,CR,tail-dependent,209.9987888,-2.623111462,-0.396416805,-1.642887053
YGR234W,YHB1,TATA-containing,CR,tail-dependent,208.544576,-4.286204948,-0.280527339,-0.964225385
YER091C,MET6,TATA-containing,CR,tail-dependent,207.5031601,-1.095343379,-0.10467822,-1.802699366
YJL034W,KAR2,TATA-containing,CR,tail-independent,197.4291871,-2.140603361,-1.35248268,-0.357623195
YLR355C,ILV5,TATA-containing,CR,tail-dependent,192.2068739,-1.242016936,-0.666106794,-0.645239641
YCL026C-A,FRM2,,CR,tail-independent,185.8360866,-1.575147693,-0.898659978,1.310894045
YIL053W,GPP1,TATA-containing,CR,tail-dependent,185.4841104,-2.221688958,-0.815931163,-1.529290945
YDR224C,HTB1,TATA-containing,CR,tail-independent,184.4034249,-1.870731292,-1.245513521,-0.201979028
YDR225W,HTA1,TATA-containing,CR,tail-independent,182.7334759,-1.959187765,-1.097862326,-0.19755016
YLR044C,PDC1,TATA-containing,CR,tail-dependent,181.8643886,-1.93852177,-0.455740875,-1.766866039
YLR108C,YLR108C,TATA-less,CR,tail-dependent,180.4755502,-2.214431278,-0.330001613,-0.71894922
YNL007C,SIS1,TATA-containing,CR,tail-independent,177.8492571,-1.802306818,-1.490597815,-0.111536407
YBR009C,HHF1,TATA-containing,CR,tail-independent,176.9354706,-3.15108976,-0.960473102,-0.021718605
YBL002W,HTB2,TATA-containing,CR,tail-dependent,162.4269944,-2.233012235,-0.485065111,-0.858843601
YEL009C,GCN4,,CR,tail-dependent,157.7848648,-0.705726999,-0.780670735,-0.315628107
YOR027W,STI1,TATA-containing,CR,tail-independent,157.5983721,-2.973809365,-2.01716396,-0.328499044
YHR055C,CUP1-2,,CR,tail-independent,157.1034934,-0.479963859,-0.03111964,0.141092319
YDL124W,YDL124W,TATA-containing,CR,tail-dependent,156.4229023,-3.628483476,-0.657102076,-0.986798287
YDL055C,PSA1,TATA-containing,CR,tail-dependent,153.9932202,-2.660676899,-0.68908831,-1.194229188
YEL034W,HYP2,TATA-containing,CR,tail-dependent,153.2633939,-2.486546709,-0.931911067,-0.680864639
YBR010W,HHT1,TATA-containing,CR,tail-independent,153.2281273,-1.447261635,-0.920461367,-0.060581901
YEL071W,DLD3,TATA-containing,CR,tail-dependent,151.867329,-2.760144312,-0.442261034,-1.252250109
YAL003W,EFB1,TATA-less,CR,tail-independent,150.8641868,-2.527524724,-1.88683033,-0.268183264
YMR058W,FET3,TATA-containing,CR,tail-dependent,150.8340047,-2.287516099,-0.526030768,-1.819971005
YCR005C,CIT2,TATA-containing,CR,tail-dependent,150.3370902,-1.182637115,0.004666406,-1.429485759
YEL046C,GLY1,TATA-containing,CR,tail-dependent,150.2860513,-2.267744939,-0.743391583,-0.880487777
YOL086C,ADH1,TATA-containing,CR,tail-dependent,149.3454582,-4.8661332,-0.59768093,-0.912149405
YMR318C,ADH6,TATA-less,CR,tail-independent,146.3627015,-1.698972076,-1.273499402,-0.001906668
YPR149W,NCE102,TATA-containing,CR,tail-dependent,146.0550224,-4.346365521,-0.871651496,-0.747545671
YKL096W-A,CWP2,TATA-containing,CR,tail-dependent,145.2418724,-4.959506109,-1.122797222,-0.428118623
YKL056C,TMA19,TATA-less,CR,tail-independent,142.5946613,-2.297594843,-1.523504773,-0.143520743
YCR024C-B,YCR024C-B,,CR,tail-dependent,139.9088402,-2.659315611,-1.739009572,-0.563015556
YGL253W,HXK2,TATA-containing,CR,tail-dependent,136.3338289,-1.539600424,-1.018701963,-0.603558264
YBL003C,HTA2,TATA-containing,CR,tail-dependent,130.6753349,-2.416179202,-0.596777076,-0.521378096
YOR063W,RPL3,TATA-containing,CR,tail-independent,130.1600232,-1.504348135,-1.480862412,-0.152135246
YDL020C,RPN4,TATA-containing,CR,tail-independent,125.5997851,-0.560802027,0.34733553,0.000608689
YNL231C,PDR16,TATA-containing,CR,tail-dependent,123.7173322,-2.781425624,-0.187606639,-0.458607416
YHR162W,MPC2,TATA-less,CR,tail-dependent,122.0194181,-1.663122839,-0.878902895,-0.437253424
YCL026C-B,HBN1,,CR,tail-independent,121.063638,-1.457096309,0.005858485,0.238263071
YKL081W,TEF4,TATA-less,CR,tail-independent,118.8520051,-1.282276653,-1.734745959,-0.130317541
YJL101C,GSH1,TATA-less,CR,tail-independent,117.6792234,-2.169022284,-0.582039636,0.493707246
YKR071C,DRE2,TATA-less,CR,tail-independent,115.8176687,-1.287131718,-0.782425461,0.336745593
YOR302W,YOR302W,TATA-less,CR,tail-dependent,115.5260922,-1.596300794,-0.240983242,-0.351618634
YDR502C,SAM2,TATA-less,CR,tail-dependent,114.8295972,-2.81841016,-0.886918643,-1.513444548
YDR033W,MRH1,TATA-containing,CR,tail-dependent,114.7715837,-5.434380695,-0.781057004,-1.467587916
YPR065W,ROX1,TATA-less,CR,tail-dependent,113.6021968,-1.507499474,-0.199225965,-0.632435901
YJR009C,TDH2,TATA-containing,CR,tail-dependent,110.3366871,-2.859878046,0.301118385,-1.757862263
YDR135C,YCF1,TATA-containing,CR,tail-independent,108.3136897,-1.188788189,-0.281456139,0.169317257
YPL250C,ICY2,TATA-containing,CR,tail-dependent,106.919134,-0.365164096,-0.323885627,-0.659863612
YCR102C,YCR102C,,CR,tail-independent,106.0676639,-2.847022177,-0.77642679,0.031045973
YGL255W,ZRT1,TATA-less,CR,tail-dependent,105.8481664,-2.362454454,-0.91125528,-2.130388029
YAL012W,CYS3,TATA-less,CR,tail-independent,105.7228216,-1.942929211,-0.659823004,-0.169288632
YBR196C,PGI1,TATA-containing,CR,tail-dependent,105.3284985,-1.285853046,-0.844086349,-0.981990072
YER043C,SAH1,TATA-less,CR,tail-dependent,105.1531269,-2.213633401,-2.107154974,-0.526631058
YMR251W-A,HOR7,TATA-containing,CR,tail-dependent,104.8217104,-2.46207457,-0.481432793,-0.162428664
YML116W,ATR1,TATA-containing,CR,tail-independent,104.5764059,-1.162786352,-0.546456965,0.305511322
YJL159W,HSP150,TATA-containing,CR,tail-dependent,104.1830963,-2.35324516,-0.526097489,-1.141076396
YBR078W,ECM33,TATA-less,CR,tail-dependent,103.2918023,-2.331262278,-1.001246805,-0.544905876
YER177W,BMH1,TATA-less,CR,tail-dependent,101.3019064,-2.823790989,-1.094709529,-0.900837336
YBR068C,BAP2,TATA-containing,CR,tail-dependent,100.8212382,-1.178750478,-0.073403552,-0.776896758
YHR143W,DSE2,TATA-containing,CR,tail-dependent,100.4250364,-3.488074378,-0.36614927,-1.984575922
YHR071W,PCL5,TATA-containing,CR,tail-independent,100.3889671,-2.454258467,-0.516625482,0.014105012
YHR018C,ARG4,TATA-containing,CR,tail-independent,100.0982985,-1.034690481,-0.948671147,0.159401613
YOR052C,TMC1,TATA-containing,CR,tail-independent,100.0543289,-1.285352534,-0.207954642,-0.10203441
YGR157W,CHO2,TATA-less,CR,tail-dependent,100.015458,-1.833232459,-0.962779639,-0.775759509
YML130C,ERO1,TATA-less,CR,tail-independent,97.66531029,-1.860301012,-1.583689136,-0.058614205
YMR307W,GAS1,TATA-less,CR,tail-dependent,96.36578868,-2.657354736,-1.337630313,-0.752844362
YLR286C,CTS1,TATA-containing,CR,tail-dependent,96.23648317,-5.001934102,-0.514750843,-1.375738975
YDR513W,GRX2,TATA-containing,CR,tail-independent,91.74932792,-1.377074933,-0.879527501,0.519278433
YER145C,FTR1,TATA-containing,CR,tail-dependent,90.93820385,-2.594121756,-0.819502063,-1.274920597
YGL089C,MF(ALPHA)2,,CR,tail-dependent,89.37957744,-6.80158603,-3.387728006,-1.900464326
YDR037W,KRS1,TATA-containing,CR,tail-independent,88.9398145,-1.998180233,-1.820571431,0.212261185
YDR132C,YDR132C,TATA-less,CR,tail-independent,88.84164674,-2.059648532,-0.688799596,0.667862173
YPR145W,ASN1,TATA-less,CR,tail-dependent,87.38772041,-1.602223291,-1.068440268,-0.208642527
YER052C,HOM3,TATA-containing,CR,tail-independent,87.14222304,-1.331511989,-1.124226257,0.167899491
YPR080W,TEF1,TATA-less,CR,tail-dependent,86.24364476,-1.099396166,-1.333357932,-0.479861085
YKR042W,UTH1,TATA-containing,CR,tail-dependent,85.53196169,-1.860323571,-0.890577443,-1.097866727
YML123C,PHO84,TATA-containing,CR,tail-dependent,85.37644707,-11.39068917,-1.10233276,-1.636606691
YER124C,DSE1,TATA-containing,CR,tail-dependent,85.23266666,-2.797910514,-0.493458386,-1.048264558
YBR118W,TEF2,TATA-containing,CR,tail-independent,84.88212362,-1.264444651,-1.179358131,-0.179718057
YLR304C,ACO1,TATA-containing,CR,tail-dependent,84.06571789,-4.166699721,0.434588007,-1.653012794
YKL216W,URA1,TATA-containing,CR,tail-dependent,83.05410295,-2.154377928,-1.148130149,-0.620372511
YKL068W-A,YKL068W-A,TATA-less,CR,tail-independent,82.40728569,-1.419524185,-0.310665726,-0.015384123
YDL182W,LYS20,TATA-containing,CR,tail-independent,81.71640796,-1.645426541,-0.189987055,0.103301824
YLL060C,GTT2,TATA-containing,CR,tail-independent,80.06470353,-1.582126822,-0.471477506,0.574445542
YDR276C,PMP3,TATA-containing,CR,tail-independent,79.2982867,-2.855425274,-1.029404987,-0.41747325
YDR533C,HSP31,TATA-containing,CR,tail-independent,79.01059113,-3.719896362,-0.495814914,0.044792337
YDR497C,ITR1,TATA-containing,CR,tail-dependent,78.92675527,-2.090910496,-1.5044564,-1.224406786
YLR214W,FRE1,TATA-less,CR,tail-independent,78.54399752,-2.519206013,-1.155659534,0.078167499
YDR155C,CPR1,TATA-containing,CR,tail-dependent,77.45795014,-2.62009605,-1.268924374,-0.440540078
YDR171W,HSP42,TATA-containing,CR,tail-independent,76.68742856,-2.985143963,-1.555452197,-0.384472611
YOR136W,IDH2,TATA-containing,CR,tail-dependent,74.42760888,-3.794944348,0.270580687,-1.362688863
YNL036W,NCE103,TATA-containing,CR,tail-dependent,74.30255559,-1.634296125,-0.19906912,-1.01347655
YDR345C,HXT3,TATA-containing,CR,tail-dependent,72.58234082,-3.056624151,-1.009176114,-1.64303864
YPR035W,GLN1,TATA-containing,CR,tail-dependent,72.36701104,-1.177179878,-1.320180557,-0.501254655
YMR038C,CCS1,TATA-less,CR,tail-independent,70.63175002,-3.060044938,-1.239720787,-0.007823404
YOR226C,ISU2,TATA-less,CR,tail-independent,70.0024733,-1.54986705,-0.649036948,0.095022852
YPL091W,GLR1,TATA-less,CR,tail-independent,69.95520608,-1.921075218,-1.168891973,0.103724731
YOR383C,FIT3,TATA-less,CR,tail-dependent,69.91969712,-2.735569645,-1.126718283,-0.631263173
YOR344C,TYE7,TATA-containing,CR,tail-dependent,69.50829741,-2.478912024,-0.504116397,-1.263576516
YJR109C,CPA2,TATA-less,CR,tail-independent,69.49639492,-0.831291162,-0.679894173,0.020048762
YGR240C,PFK1,TATA-less,CR,tail-dependent,69.15951656,-1.745576869,-1.459300737,-0.706559268
YNL327W,EGT2,TATA-containing,CR,tail-dependent,68.87232024,-2.915180514,-0.331407826,-1.37946483
YKL182W,FAS1,,CR,tail-dependent,67.57249247,-2.825243645,-1.297973329,-0.88650042
YHR008C,SOD2,TATA-containing,CR,tail-independent,67.01172102,-2.74544132,-0.658285715,0.366991459
YLR346C,YLR346C,TATA-containing,CR,tail-dependent,66.44886299,-2.806223735,-0.542514553,-0.31748219
YBR085C-A,YBR085C-A,TATA-containing,CR,tail-dependent,66.43361402,-2.31351704,-1.763429121,-0.240508551
YLR300W,EXG1,TATA-containing,CR,tail-dependent,65.94868924,-4.069670203,-0.945928079,-1.050899931
YPL231W,FAS2,TATA-containing,CR,tail-dependent,65.01794012,-2.129742344,-1.702149839,-0.760875596
YKL043W,PHD1,TATA-containing,CR,tail-dependent,64.63102068,-3.321965562,-0.218039538,-1.292190314
YDL168W,SFA1,TATA-less,CR,tail-independent,64.35427308,-2.265787362,-1.093344246,0.361827095
YML091C,RPM2,TATA-less,CR,tail-independent,64.2737154,-1.490404751,0.171128866,0.342764192
YGL028C,SCW11,TATA-less,CR,tail-dependent,63.70648344,-2.870735071,-0.436400641,-1.607099403
YOR204W,DED1,TATA-containing,CR,tail-independent,63.33893379,-2.779218296,-1.459911685,-0.272978407
YPL135W,ISU1,TATA-containing,CR,tail-dependent,62.78014837,-2.471491723,-0.125423665,-1.118520928
YOR382W,FIT2,TATA-less,CR,tail-dependent,61.66940644,-2.33004799,-1.53656388,-1.352994446
YKL164C,PIR1,TATA-containing,CR,tail-dependent,61.51581066,-2.789821693,-0.472415525,-1.015991598
YGR254W,ENO1,TATA-containing,CR,tail-dependent,61.295107,-3.245426754,0.354149086,-1.961277416
YCR021C,HSP30,TATA-containing,CR,tail-independent,61.16615679,-3.477989054,-0.75059905,0.305678743
YEL040W,UTR2,TATA-containing,CR,tail-dependent,60.9792222,-2.763650053,-1.156337951,-0.783387668
YML058W,SML1,TATA-containing,CR,tail-independent,60.80346625,-1.675328792,-1.173560019,-0.375036026
YDL243C,AAD4,,CR,tail-independent,60.58819596,-0.844358327,-0.820812572,0.108285936
YLR136C,TIS11,TATA-containing,CR,tail-dependent,60.22205599,-3.399998076,-0.475124779,-0.804866352
YBR162C,TOS1,TATA-less,CR,tail-independent,58.73686208,-2.103192985,-1.278127538,-0.332431758
YLR180W,SAM1,TATA-containing,CR,tail-dependent,58.67982177,-2.856038345,-0.80525904,-1.093827674
YLL028W,TPO1,TATA-containing,CR,tail-dependent,58.16232413,-4.521758491,-0.916851758,-0.545305239
YKL040C,NFU1,TATA-containing,CR,tail-independent,57.58073913,-1.294685042,-1.41368044,0.458895571
YGR086C,PIL1,TATA-containing,CR,tail-dependent,57.21408808,-2.690511973,-0.825635027,-0.777845224
YLR342W,FKS1,TATA-less,CR,tail-dependent,56.40392973,-1.581591926,-1.315831136,-0.403894722
YMR205C,PFK2,TATA-containing,CR,tail-dependent,56.01560156,-1.629582583,-1.026876335,-0.796727741
YFR033C,QCR6,TATA-less,CR,tail-independent,55.25297069,-2.016914742,-1.238971657,0.311780693
YBR158W,AMN1,TATA-containing,CR,tail-dependent,54.94254434,-3.329045325,-0.46336653,-1.482712442
YPL274W,SAM3,TATA-containing,CR,tail-dependent,54.36452602,-1.907695551,-0.60028466,-0.664373495
YNL180C,RHO5,TATA-less,CR,tail-independent,54.24201807,-3.030955461,-0.225916677,-0.445549523
YPL004C,LSP1,TATA-containing,CR,tail-dependent,54.05074549,-2.093755871,-0.873040915,-0.460297445
YMR122W-A,YMR122W-A,TATA-containing,CR,tail-dependent,53.78572166,-3.640331847,-0.887670744,-0.718898888
YOR303W,CPA1,,CR,tail-dependent,53.72696624,-1.450657394,-0.348108546,-0.438513662
YKL071W,YKL071W,,CR,tail-independent,52.84323539,-2.750836606,-0.87473914,-0.045442971
YER064C,VHR2,TATA-containing,CR,tail-dependent,52.75582675,-1.496159634,-0.644382867,-0.525579015
YKR076W,ECM4,,CR,tail-independent,52.67742839,-1.744213306,-0.633362266,0.308991344
YHR007C,ERG11,TATA-containing,CR,tail-dependent,52.34929267,-1.81932221,-2.008898415,-0.651690237
YLR390W-A,CCW14,TATA-less,CR,tail-independent,52.33411781,-1.411650168,-1.410072359,-0.084494206
YER026C,CHO1,TATA-containing,CR,tail-dependent,51.87781551,-2.085975024,-2.007043448,-0.552268445
YLR354C,TAL1,TATA-containing,CR,tail-independent,51.80742698,-1.416182029,-1.840072026,-0.410752459
YJR121W,ATP2,,CR,tail-independent,51.71131624,-0.592047612,-1.8833636,-0.066925413
YDR487C,RIB3,TATA-containing,CR,tail-independent,51.6461426,-2.254889952,-0.847226701,0.239417301
YDR046C,BAP3,TATA-less,CR,tail-dependent,51.51915153,-2.566176166,-0.392485438,-0.302847353
YPL154C,PEP4,TATA-containing,CR,tail-independent,51.50996892,-1.045939081,-0.873230407,-0.246383675
YMR177W,MMT1,TATA-less,CR,tail-independent,49.8271998,-1.528774727,-1.07779714,0.068984445
YOL058W,ARG1,TATA-less,CR,tail-dependent,49.54492032,0.03003317,-0.42970478,-0.142563731
YLR040C,AFB1,,CR,tail-independent,48.48947589,-4.134786389,-3.967880405,-0.127494566
YNL260C,LTO1,TATA-containing,CR,tail-independent,48.18245861,-1.716757794,-1.582429767,0.460256746
YER055C,HIS1,TATA-less,CR,tail-independent,47.73438027,-1.041570483,-1.6615298,0.106055789
YER072W,VTC1,TATA-less,CR,tail-independent,47.53361208,-2.675686495,-1.731603417,-0.246833256
YNR016C,ACC1,,CR,tail-dependent,47.35757871,-2.15857566,-1.659907295,-0.741409806
YDL070W,BDF2,TATA-containing,CR,tail-independent,47.14259248,-2.406088483,0.447006843,-0.358322059
YGL037C,PNC1,TATA-containing,CR,tail-dependent,46.59968942,-3.618239842,-0.925315329,-0.57859203
YNL087W,TCB2,TATA-containing,CR,tail-independent,45.71227464,-2.401801796,-0.451526279,-0.003162828
YKL039W,PTM1,TATA-containing,CR,tail-independent,45.64972355,-1.546236245,-1.393589844,-0.075048964
YMR002W,MIX17,TATA-containing,CR,tail-independent,45.38376244,-0.972581204,-0.592383392,-0.27147769
YER070W,RNR1,TATA-containing,CR,tail-dependent,45.3651532,-2.991126304,-0.774120843,-1.084838684
YER073W,ALD5,TATA-containing,CR,tail-dependent,45.09725367,-1.197160791,-1.012968864,-0.174769189
YFL031W,HAC1,TATA-less,CR,tail-independent,44.98172736,-1.17756644,-1.780660617,-0.313402752
YNL190W,YNL190W,TATA-containing,CR,tail-dependent,44.69823633,-2.012798622,-1.350098049,-0.485982282
YIL051C,MMF1,TATA-containing,CR,tail-independent,44.53012653,-1.801807573,-0.79498616,-0.434684201
YGR279C,SCW4,TATA-less,CR,tail-independent,43.82330094,-1.812164544,-1.643259251,-0.187550445
YNL241C,ZWF1,,CR,tail-dependent,43.46562505,-2.405736369,-0.143681967,-0.685289194
YKL103C,APE1,,CR,tail-independent,43.4596952,-1.644672158,-0.946272781,-0.20004069
YLR287C-A,RPS30A,TATA-less,CR,tail-independent,43.34556055,-1.664353484,-2.130524137,0.129664187
YHR183W,GND1,TATA-containing,CR,tail-dependent,43.0060788,-1.733750666,-2.219793886,-0.56365144
YNL104C,LEU4,TATA-containing,CR,tail-dependent,42.93900691,-0.696567646,-0.617825593,-0.276677724
YDR158W,HOM2,TATA-less,CR,tail-independent,42.79407293,-1.262338491,-1.65892445,0.29978784
YNL066W,SUN4,,CR,tail-dependent,42.13811414,-3.28466059,-0.945495359,-0.462232571
YLR413W,INA1,TATA-containing,CR,tail-dependent,41.20846403,-2.883901681,-1.97199024,-0.58127699
YEL065W,SIT1,TATA-containing,CR,tail-dependent,41.17249373,-2.546686015,-1.238706833,-1.01166341
YOL136C,PFK27,TATA-containing,CR,tail-dependent,41.02045762,-2.108840948,-1.237165229,-0.537393037
YOL154W,ZPS1,,CR,tail-dependent,40.81028229,-2.184605861,-1.935375311,-1.418144517
YLR064W,PER33,TATA-less,CR,tail-independent,40.27571377,-1.81538777,-1.491357462,0.176947888
YKL178C,STE3,,CR,tail-dependent,39.73041118,-4.530085011,-2.750292533,-0.611653084
YFL004W,VTC2,TATA-less,CR,tail-independent,39.59600194,-2.774430567,-2.01829815,-0.008472323
YJL052W,TDH1,TATA-containing,CR,tail-dependent,39.51333764,-4.883602275,0.406254782,-1.478341288
YML007W,YAP1,TATA-less,CR,tail-independent,39.45636314,-1.441300076,-0.578157558,0.117100897
YDR077W,SED1,TATA-containing,CR,tail-dependent,39.41901149,-2.659722289,-0.93735252,-1.034700576
YDR270W,CCC2,TATA-less,CR,tail-independent,39.15856453,-2.336965804,-0.52746291,-0.364191054
YDR214W,AHA1,TATA-less,CR,tail-independent,39.10034358,-2.037649454,-1.39933132,0.063333169
YCL043C,PDI1,TATA-containing,CR,tail-dependent,39.0157709,-1.898322784,-1.732215427,-0.438555657
YDL029W,ARP2,TATA-less,CR,tail-independent,38.47272573,-1.724930643,-1.596507593,-0.093683201
YKL054C,DEF1,TATA-less,CR,tail-independent,37.59410387,-1.636043282,-0.965725633,0.074660569
YDR381W,YRA1,TATA-containing,CR,tail-independent,37.49273592,-1.138337318,-0.621346954,-0.043670324
YHR128W,FUR1,TATA-containing,CR,tail-independent,37.38320146,-1.838962002,-2.093734785,-0.092314049
YKR052C,MRS4,TATA-containing,CR,tail-independent,37.28539252,-1.136662121,-0.963503611,0.122942415
YMR246W,FAA4,TATA-containing,CR,tail-independent,37.15917773,-2.080584823,-1.743751503,-0.177353105
YKL035W,UGP1,TATA-containing,CR,tail-dependent,37.02990852,-0.973938171,-1.238577731,-0.387131711
YPL202C,AFT2,TATA-less,CR,tail-independent,37.01091209,-1.745422283,-0.952065994,0.26426415
YBR286W,APE3,TATA-containing,CR,tail-independent,36.88513676,-0.94555936,-1.778782188,0.193557828
YJL130C,URA2,TATA-less,CR,tail-independent,36.83101254,-1.406030555,-1.461119312,-0.325421416
YBR177C,EHT1,,CR,tail-dependent,36.29948814,-2.452961293,-1.695599365,-0.325721393
YPL171C,OYE3,,CR,tail-independent,36.12092837,-1.678788131,-1.229114519,0.695696381
YHR094C,HXT1,TATA-containing,CR,tail-dependent,35.89105465,-3.682373841,-0.681580338,-1.771406239
YDR508C,GNP1,TATA-containing,CR,tail-dependent,35.76551804,-2.276605226,-0.924893082,-0.666170197
YGL077C,HNM1,TATA-containing,CR,tail-independent,35.69717708,-1.875532959,-1.622072806,-0.143482246
YDL180W,YDL180W,TATA-less,CR,tail-independent,35.31403379,-1.947737914,-1.448843524,0.414362554
YDR032C,PST2,TATA-containing,CR,tail-independent,34.95300541,-1.445426254,-0.586234479,0.002957721
YER056C,FCY2,TATA-containing,CR,tail-dependent,34.71454512,-1.929326943,-0.880549546,-0.403429737
YPL265W,DIP5,TATA-containing,CR,tail-dependent,34.5541026,-2.920591038,-0.006477494,-1.064352672
YDL025C,RTK1,TATA-less,CR,tail-independent,34.52262233,-1.450890712,-1.374853589,0.071113198
YGR161C,RTS3,TATA-containing,CR,tail-dependent,34.33048111,-0.986183062,-0.612830858,-0.890893527
YDL125C,HNT1,TATA-less,CR,tail-independent,34.30763289,-2.037046818,-1.019441376,-0.067848354
YDR127W,ARO1,TATA-less,CR,tail-independent,34.0385738,-1.259916239,-1.580763738,0.147785183
YJL133C-A,YJL133C-A,TATA-containing,CR,tail-dependent,33.99021605,-1.959261068,0.261632946,-0.748648083
YGR146C,ECL1,TATA-less,CR,tail-dependent,33.98559797,-1.137316387,-0.200152503,-0.454063068
YDR226W,ADK1,TATA-containing,CR,tail-independent,33.75645091,-2.506818831,-1.867784052,-0.124382305
YLR297W,YLR297W,TATA-containing,CR,tail-independent,33.54516038,-4.621053344,-0.627245264,-0.484927711
YPL019C,VTC3,TATA-less,CR,tail-dependent,33.40116868,-4.103866121,-1.329686465,-0.737087748
YKL120W,OAC1,TATA-containing,CR,tail-dependent,33.22397322,-0.768391032,-0.952451989,-0.549176027
YEL033W,MTC7,,CR,tail-dependent,33.18914244,-1.385449898,-0.989225276,-0.593659376
YGR175C,ERG1,TATA-less,CR,tail-independent,33.13652927,-1.522578442,-1.997202996,-0.32896348
